1702833524.620456 client started (15420): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1702833524.620529 on Darwin 22.6.0 Darwin Kernel Version 22.6.0: Wed Jul  5 22:21:53 PDT 2023; root:xnu-8796.141.3~6/RELEASE_ARM64_T6020
1702833524.620549 using libevent 2.1.12-stable (select); utf8proc 2.9.0; ncurses 6.4
1702833524.624226 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.624230 sending message 112 to peer 0x130048000 (11 bytes)
1702833524.624234 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.624238 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.624242 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624246 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624250 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624254 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624258 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624262 sending message 112 to peer 0x130048000 (10 bytes)
1702833524.624266 sending message 112 to peer 0x130048000 (9 bytes)
1702833524.624270 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.624274 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624279 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624283 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624287 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624291 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624295 sending message 112 to peer 0x130048000 (9 bytes)
1702833524.624299 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.624303 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624307 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624311 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624315 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624319 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624328 sending message 112 to peer 0x130048000 (11 bytes)
1702833524.624340 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.624344 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624349 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624353 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624357 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624362 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624366 sending message 112 to peer 0x130048000 (11 bytes)
1702833524.624370 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.624375 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.624379 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.624383 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.624387 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.624391 sending message 112 to peer 0x130048000 (21 bytes)
1702833524.624395 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.624399 sending message 112 to peer 0x130048000 (9 bytes)
1702833524.624403 sending message 112 to peer 0x130048000 (6 bytes)
1702833524.624407 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624411 sending message 112 to peer 0x130048000 (10 bytes)
1702833524.624415 sending message 112 to peer 0x130048000 (24 bytes)
1702833524.624419 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624423 sending message 112 to peer 0x130048000 (9 bytes)
1702833524.624427 sending message 112 to peer 0x130048000 (70 bytes)
1702833524.624431 sending message 112 to peer 0x130048000 (69 bytes)
1702833524.624436 sending message 112 to peer 0x130048000 (12 bytes)
1702833524.624440 sending message 112 to peer 0x130048000 (10 bytes)
1702833524.624444 sending message 112 to peer 0x130048000 (10 bytes)
1702833524.624448 sending message 112 to peer 0x130048000 (24 bytes)
1702833524.624452 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624456 sending message 112 to peer 0x130048000 (10 bytes)
1702833524.624460 sending message 112 to peer 0x130048000 (10 bytes)
1702833524.624464 sending message 112 to peer 0x130048000 (17 bytes)
1702833524.624468 sending message 112 to peer 0x130048000 (10 bytes)
1702833524.624472 sending message 112 to peer 0x130048000 (13 bytes)
1702833524.624476 sending message 112 to peer 0x130048000 (17 bytes)
1702833524.624480 sending message 112 to peer 0x130048000 (9 bytes)
1702833524.624485 sending message 112 to peer 0x130048000 (15 bytes)
1702833524.624489 sending message 112 to peer 0x130048000 (5 bytes)
1702833524.624494 sending message 104 to peer 0x130048000 (0 bytes)
1702833524.624500 sending message 110 to peer 0x130048000 (0 bytes)
1702833524.624504 sending message 107 to peer 0x130048000 (4 bytes)
1702833524.624508 sending message 105 to peer 0x130048000 (83 bytes)
1702833524.624513 sending message 105 to peer 0x130048000 (87 bytes)
1702833524.624517 sending message 105 to peer 0x130048000 (31 bytes)
1702833524.624521 sending message 105 to peer 0x130048000 (20 bytes)
1702833524.624525 sending message 105 to peer 0x130048000 (22 bytes)
1702833524.624529 sending message 105 to peer 0x130048000 (19 bytes)
1702833524.624533 sending message 105 to peer 0x130048000 (15 bytes)
1702833524.624537 sending message 105 to peer 0x130048000 (15 bytes)
1702833524.624542 sending message 105 to peer 0x130048000 (684 bytes)
1702833524.624546 sending message 105 to peer 0x130048000 (15 bytes)
1702833524.624551 sending message 105 to peer 0x130048000 (66 bytes)
1702833524.624555 sending message 105 to peer 0x130048000 (15 bytes)
1702833524.624559 sending message 105 to peer 0x130048000 (57 bytes)
1702833524.624563 sending message 105 to peer 0x130048000 (12 bytes)
1702833524.624567 sending message 105 to peer 0x130048000 (20 bytes)
1702833524.624571 sending message 105 to peer 0x130048000 (14 bytes)
1702833524.624575 sending message 105 to peer 0x130048000 (19 bytes)
1702833524.624579 sending message 105 to peer 0x130048000 (35 bytes)
1702833524.624583 sending message 105 to peer 0x130048000 (32 bytes)
1702833524.624603 sending message 105 to peer 0x130048000 (8 bytes)
1702833524.624607 sending message 105 to peer 0x130048000 (28 bytes)
1702833524.624611 sending message 105 to peer 0x130048000 (21 bytes)
1702833524.624616 sending message 105 to peer 0x130048000 (47 bytes)
1702833524.624620 sending message 105 to peer 0x130048000 (27 bytes)
1702833524.624624 sending message 105 to peer 0x130048000 (16 bytes)
1702833524.624628 sending message 105 to peer 0x130048000 (53 bytes)
1702833524.624632 sending message 105 to peer 0x130048000 (62 bytes)
1702833524.624636 sending message 105 to peer 0x130048000 (19 bytes)
1702833524.624640 sending message 105 to peer 0x130048000 (38 bytes)
1702833524.624644 sending message 105 to peer 0x130048000 (37 bytes)
1702833524.624648 sending message 105 to peer 0x130048000 (25 bytes)
1702833524.624652 sending message 106 to peer 0x130048000 (0 bytes)
1702833524.624732 sending message 200 to peer 0x130048000 (4 bytes)
1702833524.624739 client loop enter
1702833524.631545 peer 0x130048000 message 207
1702833524.631606 sending message 208 to peer 0x130048000 (0 bytes)
1702833527.767948 peer 0x130048000 message 203
1702833527.768174 sending message 205 to peer 0x130048000 (0 bytes)
1702833527.768436 peer 0x130048000 message 204
1702833527.768454 client loop exit
